Activity Id,Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
d03921ae-4a86-4850-b407-276a6ad2bca7,2018-06-11 18:15:13,Running,,8.51,1:33:53,11:02,5.44,1293.0,360,,"","",2018-06-11-181513.gpx
4ef9ebcd-c0e3-498c-ae65-7a3fab2a4b89,2018-06-09 09:24:29,Running,,3.11,31:48,10:13,5.87,482.0,140,,"","",2018-06-09-092429.gpx
ded6c590-5f52-47e6-9657-152c4ad6d6f1,2018-06-08 05:46:36,Running,,6.51,1:08:38,10:33,5.69,994.0,277,,"","",2018-06-08-054636.gpx
ea94da39-6278-424d-81de-fe8cd0f6043d,2018-06-06 06:21:47,Running,,3.15,34:25,10:56,5.49,479.0,133,,"","",2018-06-06-062147.gpx
13be716c-f9b0-44ea-8276-c42b54402d00,2018-06-04 06:04:43,Running,,6.51,1:09:30,10:40,5.62,1011.0,270,,"","",2018-06-04-060443.gpx
fedf3d63-a74c-40d2-ba2c-cad9df80984d,2018-06-02 08:25:32,Running,,4.51,49:35,11:00,5.45,694.0,202,,"","",2018-06-02-082532.gpx
ead84cb5-ced0-4f54-95cf-889220c8ac03,2018-06-01 17:45:53,Running,,4.50,50:00,11:07,5.40,719.0,0,,"","13.1 training, Week 5 Day 6. 4.5mi jog on treadmill after work.",
73534ab1-f6b2-43f9-9aa2-90d7d2e7a8c3,2018-05-30 06:10:18,Running,,3.12,31:08,9:59,6.01,484.0,137,,"","",2018-05-30-061018.gpx
42d007fd-5dc9-4190-9910-152ff262f8bb,2018-05-28 08:33:29,Running,,4.51,51:37,11:27,5.24,675.0,176,,"Christopher Schlosberg,","",2018-05-28-083329.gpx
6e43ae87-67d9-4ad3-84a1-5528ba0d04f2,2018-05-26 07:50:01,Running,,4.53,47:18,10:27,5.74,690.0,209,,"","",2018-05-26-075001.gpx
900c9f82-38ed-4fca-a813-5344c88f9437,2018-05-25 06:11:20,Running,,4.51,49:15,10:55,5.49,685.0,182,,"","",2018-05-25-061120.gpx
6af96f20-c2d8-4fd2-a655-3674443d4d23,2018-05-23 17:48:50,Running,,3.01,31:12,10:22,5.79,472.0,136,,"","",2018-05-23-174850.gpx
32bbeeb3-f9d0-4fd3-9a04-ff2a30c61d1c,2018-05-21 06:00:05,Running,,4.52,50:00,11:04,5.42,684.0,206,,"","",2018-05-21-060005.gpx
e46e288a-cbb9-4734-8394-9216f201a680,2018-05-20 13:00:49,Running,,4.52,48:35,10:45,5.58,688.0,172,,"","",2018-05-20-130049.gpx
3af57318-8143-4c1d-9515-7285f2a1e51e,2018-05-18 06:06:36,Running,,4.52,47:32,10:32,5.70,695.0,162,,"","",2018-05-18-060636.gpx
4ef98b68-004b-4f9a-b49f-b7176bc16f4a,2018-05-16 06:19:09,Running,,3.02,31:23,10:24,5.77,478.0,128,,"","",2018-05-16-061909.gpx
aa50603b-debc-4543-a4ab-a1b07292862b,2018-05-14 06:09:11,Running,,4.50,51:24,11:25,5.26,681.0,154,,"","",2018-05-14-060911.gpx
500d3f2c-4ec9-479c-b231-80d2f075650b,2018-05-12 15:29:13,Running,,3.00,34:14,11:24,5.26,454.0,102,,"","",2018-05-12-152913.gpx
749e2438-cbdd-4fec-bad7-4b761269d469,2018-05-11 06:30:00,Running,,4.52,49:18,10:55,5.50,692.0,162,,"","",2018-05-11-063000.gpx
4c84abae-6d89-4633-ba12-e49e4df04cb6,2018-05-09 06:23:33,Running,,1.72,17:03,9:55,6.05,273.0,51,,"","",2018-05-09-062333.gpx
8b729843-62b0-4a66-baba-60adbd7b23a1,2018-05-07 06:37:38,Running,,2.74,32:57,12:02,4.98,409.0,108,,"","",2018-05-07-063738.gpx
9134d9ce-1310-4c78-818d-702352271574,2018-05-04 06:44:11,Running,,2.38,28:18,11:52,5.05,354.0,82,,"","",2018-05-04-064411.gpx
