eventID,AfterInhMATRIX5,PrescaleMATRIX5,RawMATRIX4,RawTriggers,label
434415,47681,19,3063404,12150848,1
434416,49468,21,3031386,12319295,1
434417,48201,20,2987104,12063756,1
434418,44813,18,3137669,11800604,1
434419,50325,21,2830455,12163602,1
434420,47081,20,2999102,12026061,1
434423,34028,14,2950487,11077991,2
434424,57390,23,3462636,12701607,3
434425,57518,24,3276352,12458541,3
434426,54467,23,3472270,12287056,3
434427,38119,15,2496966,11114353,4
434428,51336,22,2979188,12064574,5
434429,43952,18,3172761,11822387,6
434430,48061,20,3047462,12011396,7
434431,47758,19,2784892,11881671,6
434432,36429,15,2539148,10895079,4
434433,56971,24,3422807,12662314,3
434434,60030,25,3260357,12807566,3
434435,23138,9,3327714,9370901,2
434436,32824,14,3500818,10582761,1
434437,31348,13,3541086,10325460,1
434438,30735,12,3652657,10388421,1
434439,35057,15,3449642,10785393,1
434440,29769,12,3641433,10195369,1
434441,34801,15,3522540,10883295,1
434442,34837,14,3451571,10790018,1
434443,32788,14,3508553,10513933,1
434444,36280,15,3335409,10991285,1
434445,34622,14,3414960,10822186,1
434446,30340,12,2868106,10403186,2
434447,53717,23,3541614,12427241,3
434448,43543,18,3864956,11509363,3
434449,48690,20,3534637,11728217,3
434450,31641,13,2209894,9731591,4
434451,43279,18,3426344,11697916,5
434452,46124,19,2781433,11686459,6
434453,47394,19,3045722,12047636,7
434454,41817,18,3279428,11704264,6
434455,34566,14,2660498,10909571,4
434456,57294,24,3429708,12740640,3
434457,49929,20,3486148,11913484,3
434458,33153,14,2654107,10669936,2
434459,42877,18,3008443,11462144,1
434460,37869,15,3130411,10894662,1
434461,41464,17,3057298,11326988,1
434462,28170,12,3682379,9819280,1
434463,32675,13,3644551,10680646,1
434464,32788,14,3491828,10540753,1
434465,38649,16,3207146,10943236,1
434466,40392,17,3151605,11225502,1
434467,32457,13,3616771,10540134,1
434468,36919,15,3164171,10614804,1
434469,29116,12,2914555,10260478,2
434470,40333,17,3605214,10635121,3
434471,51076,21,3509627,11966856,3
434472,54102,23,3322982,12089218,3
434473,31775,13,2820904,10525805,4
434474,49465,20,3099220,12003777,5
434476,39703,17,3390913,11215430,7
434477,47530,19,2891815,11959847,6
434478,35430,15,2701006,11080335,4
434479,56591,23,3198265,12285461,3
434480,62770,26,3078403,12845025,3
434481,35774,15,2650747,10967688,2
434482,45200,19,2957075,11698950,1
434483,47740,19,2749440,11796157,1
434484,46381,20,3004062,11810824,1
434487,37126,15,3235148,10734092,1
434488,38591,16,3283340,10932986,1
434489,42114,17,3208612,11454033,1
434490,37409,16,3346031,10876667,1
434491,38419,16,3161704,10922923,1
434492,34257,14,2683384,10641725,2
434493,45976,19,3823283,11674920,3
434494,51312,21,3608163,11973487,3
434495,54819,23,3341251,12139273,3
434496,29574,12,2848811,10036265,4
434497,42934,18,3175135,11136132,5
434498,40917,16,3174801,11200354,6
434499,35469,15,3454221,10550477,7
434500,41291,17,3186725,11226232,6
434501,30581,13,3034049,10510385,4
434502,46889,19,3719571,11557856,3
